,openrlbenchmark/baselines/baselines-ppo2-cnn ({}),openrlbenchmark/envpool-atari/ppo_atari_envpool_xla_jax_truncation ({})
AlienNoFrameskip-v4,1705.80 ± 439.74,1755.00 ± 342.54
AmidarNoFrameskip-v4,585.99 ± 52.92,843.47 ± 31.70
AssaultNoFrameskip-v4,4878.67 ± 815.64,6248.95 ± 261.93
AsterixNoFrameskip-v4,3738.50 ± 745.13,4903.44 ± 479.45
AsteroidsNoFrameskip-v4,1556.90 ± 151.20,1769.68 ± 200.53
AtlantisNoFrameskip-v4,2036749.00 ± 95929.75,3258958.33 ± 553392.40
BankHeistNoFrameskip-v4,1213.47 ± 14.46,1167.31 ± 37.27
BattleZoneNoFrameskip-v4,19980.00 ± 1355.21,20424.17 ± 1986.70
BeamRiderNoFrameskip-v4,2835.71 ± 387.92,3133.78 ± 293.02
BerzerkNoFrameskip-v4,1049.77 ± 144.58,991.35 ± 215.61
BowlingNoFrameskip-v4,59.66 ± 0.62,44.76 ± 7.63
BoxingNoFrameskip-v4,93.32 ± 0.36,93.64 ± 0.17
BreakoutNoFrameskip-v4,405.73 ± 11.47,465.90 ± 14.30
CentipedeNoFrameskip-v4,3688.54 ± 412.24,3494.08 ± 58.71
ChopperCommandNoFrameskip-v4,816.33 ± 114.14,4422.79 ± 833.81
CrazyClimberNoFrameskip-v4,119344.67 ± 4902.83,118370.17 ± 4364.35
DefenderNoFrameskip-v4,50161.67 ± 4477.49,49146.98 ± 4077.41
DemonAttackNoFrameskip-v4,13788.43 ± 1313.44,23497.63 ± 4008.79
DoubleDunkNoFrameskip-v4,-12.96 ± 0.31,-6.72 ± 1.02
EnduroNoFrameskip-v4,986.69 ± 25.28,1178.37 ± 90.34
FishingDerbyNoFrameskip-v4,26.23 ± 2.76,26.20 ± 0.49
FreewayNoFrameskip-v4,32.97 ± 0.37,32.77 ± 0.22
FrostbiteNoFrameskip-v4,933.60 ± 885.92,296.23 ± 16.84
GopherNoFrameskip-v4,3672.53 ± 1749.20,2493.51 ± 2185.28
GravitarNoFrameskip-v4,881.67 ± 33.73,626.52 ± 46.03
HeroNoFrameskip-v4,24746.88 ± 3530.10,29907.28 ± 2776.20
IceHockeyNoFrameskip-v4,-4.12 ± 0.20,-4.51 ± 0.27
PrivateEyeNoFrameskip-v4,31.83 ± 43.74,57.67 ± 42.24
QbertNoFrameskip-v4,15228.25 ± 920.95,17318.50 ± 385.80
RiverraidNoFrameskip-v4,9023.57 ± 1386.85,8676.91 ± 725.75
RoadRunnerNoFrameskip-v4,40125.33 ± 7249.13,45092.50 ± 796.30
RobotankNoFrameskip-v4,16.45 ± 3.37,11.69 ± 5.49
SeaquestNoFrameskip-v4,1518.33 ± 400.35,1203.30 ± 364.07
SkiingNoFrameskip-v4,-22978.48 ± 9894.25,-11533.75 ± 3604.51
SolarisNoFrameskip-v4,2365.33 ± 157.75,2056.02 ± 89.43
SpaceInvadersNoFrameskip-v4,1019.75 ± 49.08,1164.26 ± 176.96
StarGunnerNoFrameskip-v4,44457.67 ± 3031.86,46906.46 ± 2422.07
SurroundNoFrameskip-v4,-4.97 ± 0.99,-5.33 ± 1.73
TennisNoFrameskip-v4,-16.44 ± 1.46,-12.02 ± 7.92
TimePilotNoFrameskip-v4,6346.67 ± 663.31,6915.75 ± 1400.00
TutankhamNoFrameskip-v4,190.73 ± 12.00,221.88 ± 28.88
UpNDownNoFrameskip-v4,156143.70 ± 70620.88,394292.22 ± 199475.88
VentureNoFrameskip-v4,109.33 ± 61.57,0.00 ± 0.00
VideoPinballNoFrameskip-v4,53121.26 ± 2580.70,76031.30 ± 17313.17
WizardOfWorNoFrameskip-v4,5346.33 ± 277.11,6392.12 ± 548.63
YarsRevengeNoFrameskip-v4,9394.97 ± 2743.74,63012.63 ± 5800.47
ZaxxonNoFrameskip-v4,5532.67 ± 2607.65,4767.50 ± 3370.76
JamesbondNoFrameskip-v4,536.50 ± 82.33,585.02 ± 106.40
KangarooNoFrameskip-v4,5325.33 ± 3464.80,4484.29 ± 323.07
KrullNoFrameskip-v4,8737.10 ± 294.58,9420.27 ± 271.85
KungFuMasterNoFrameskip-v4,30451.67 ± 5515.45,29591.29 ± 1533.86
MontezumaRevengeNoFrameskip-v4,1.00 ± 1.41,4.25 ± 6.01
MsPacmanNoFrameskip-v4,2152.83 ± 152.80,2574.25 ± 589.84
NameThisGameNoFrameskip-v4,6815.63 ± 1098.95,5939.28 ± 118.37
PhoenixNoFrameskip-v4,9517.73 ± 1176.62,14847.46 ± 480.81
PitfallNoFrameskip-v4,-0.76 ± 0.55,-113.92 ± 98.81
PongNoFrameskip-v4,20.45 ± 0.81,20.62 ± 0.18
