,openrlbenchmark/baselines/baselines-ppo2-cnn ({}),openrlbenchmark/envpool-atari/ppo_atari_envpool_xla_jax_truncation ({})
AlienNoFrameskip-v4,115.39610880350754,49.884164389799636
AmidarNoFrameskip-v4,112.83270679012345,43.59053392531876
AssaultNoFrameskip-v4,107.17771917487107,35.680179872495444
AsterixNoFrameskip-v4,112.73574189454253,38.389924863387975
AsteroidsNoFrameskip-v4,113.03088556014693,40.47980988160291
AtlantisNoFrameskip-v4,120.55891472868218,42.241922814207655
BankHeistNoFrameskip-v4,139.64479288784682,41.83422131147541
BattleZoneNoFrameskip-v4,138.48709548860194,45.96771402550091
BeamRiderNoFrameskip-v4,115.56617944317316,43.699772313296904
BerzerkNoFrameskip-v4,133.91134690591213,39.1980362021858
BowlingNoFrameskip-v4,130.5180617101592,36.080544171220396
BoxingNoFrameskip-v4,149.58933381433383,49.6146914845173
BreakoutNoFrameskip-v4,121.33980034722222,43.37048611111111
CentipedeNoFrameskip-v4,146.80718785796105,42.56679758652094
ChopperCommandNoFrameskip-v4,136.0257662835249,46.650722905282336
CrazyClimberNoFrameskip-v4,126.04347498493067,39.157940573770496
DefenderNoFrameskip-v4,131.4957192075797,36.631016621129326
DemonAttackNoFrameskip-v4,125.89874661246611,36.97123178506375
DoubleDunkNoFrameskip-v4,124.87176308539945,43.611936475409834
EnduroNoFrameskip-v4,142.22003968253966,47.09570810564662
FishingDerbyNoFrameskip-v4,149.29611177406525,52.065351775956294
FreewayNoFrameskip-v4,153.73630751964086,52.49053392531876
FrostbiteNoFrameskip-v4,144.87520269498688,47.2924635701275
GopherNoFrameskip-v4,138.90944318325134,37.7218010018215
GravitarNoFrameskip-v4,137.55770461819844,41.614458105646634
HeroNoFrameskip-v4,151.08577881016905,51.0056181693989
IceHockeyNoFrameskip-v4,142.83572543617998,45.41278460837887
PrivateEyeNoFrameskip-v4,144.06491769547324,47.70117827868852
QbertNoFrameskip-v4,134.2354863408061,42.917002504553736
RiverraidNoFrameskip-v4,141.91197656435878,46.974328324225866
RoadRunnerNoFrameskip-v4,144.60687397228097,48.710877732240434
RobotankNoFrameskip-v4,146.26443145984047,50.87726548269581
SeaquestNoFrameskip-v4,135.07550975177304,41.79544057377049
SkiingNoFrameskip-v4,132.15591128433556,43.787881375227684
SolarisNoFrameskip-v4,136.19481639759417,50.1780737704918
SpaceInvadersNoFrameskip-v4,124.39276464971955,41.271123633879775
StarGunnerNoFrameskip-v4,120.87781611599051,35.64286202185792
SurroundNoFrameskip-v4,130.98949679162445,37.7981102003643
TennisNoFrameskip-v4,113.3279012345679,44.300523679417125
TimePilotNoFrameskip-v4,127.14933712121213,39.9883310564663
TutankhamNoFrameskip-v4,137.95335791543755,40.484693761384335
UpNDownNoFrameskip-v4,141.99828358208956,57.926149817850636
VentureNoFrameskip-v4,137.98308261700095,41.83658356102004
VideoPinballNoFrameskip-v4,179.96951827242523,51.18640710382514
WizardOfWorNoFrameskip-v4,139.84674603174602,41.41840277777778
YarsRevengeNoFrameskip-v4,127.82712099301035,38.31487363387978
ZaxxonNoFrameskip-v4,134.25085071350165,44.35315915300546
JamesbondNoFrameskip-v4,136.09193382258272,41.59447290528233
KangarooNoFrameskip-v4,142.77731432901948,47.31025159380692
KrullNoFrameskip-v4,146.58304027933656,48.11487363387978
KungFuMasterNoFrameskip-v4,139.3328771454381,47.1531989981785
MontezumaRevengeNoFrameskip-v4,141.85652657527658,46.09364754098361
MsPacmanNoFrameskip-v4,137.5235415216887,43.40758765938069
NameThisGameNoFrameskip-v4,134.95206441850414,42.23807490892532
PhoenixNoFrameskip-v4,128.5608364235682,35.470759335154824
PitfallNoFrameskip-v4,140.55414348339232,42.1199852003643
PongNoFrameskip-v4,117.71843084779132,37.39524134790528
