,ppo_atari_envpool_xla_jax_truncation_machado ({}),ppo_atari_envpool_xla_jax_truncation ({})
Alien-v5,2626.45 ± 0.00,1755.00 ± 342.54
Amidar-v5,1323.18 ± 0.00,843.47 ± 31.70
Assault-v5,3225.26 ± 0.00,6248.95 ± 261.93
Asterix-v5,11081.75 ± 0.00,4903.44 ± 479.45
Asteroids-v5,1788.17 ± 0.00,1769.68 ± 200.53
Atlantis-v5,775537.50 ± 0.00,3258958.33 ± 553392.40
BankHeist-v5,1172.79 ± 0.00,1167.31 ± 37.27
BattleZone-v5,33153.75 ± 0.00,20424.17 ± 1986.70
BeamRider-v5,3161.69 ± 0.00,3133.78 ± 293.02
Berzerk-v5,814.51 ± 0.00,991.35 ± 215.61
Bowling-v5,50.89 ± 0.00,44.76 ± 7.63
Boxing-v5,96.49 ± 0.00,93.64 ± 0.17
Breakout-v5,373.85 ± 0.00,465.90 ± 14.30
Centipede-v5,3082.35 ± 0.00,3494.08 ± 58.71
ChopperCommand-v5,12176.00 ± 0.00,4422.79 ± 833.81
CrazyClimber-v5,135736.62 ± 0.00,118370.17 ± 4364.35
Defender-v5,57146.62 ± 0.00,49146.98 ± 4077.41
DemonAttack-v5,12115.09 ± 0.00,23497.63 ± 4008.79
DoubleDunk-v5,-0.68 ± 0.00,-6.72 ± 1.02
Enduro-v5,1734.94 ± 0.00,1178.37 ± 90.34
FishingDerby-v5,42.35 ± 0.00,26.20 ± 0.49
Freeway-v5,33.63 ± 0.00,32.77 ± 0.22
Frostbite-v5,269.59 ± 0.00,296.23 ± 16.84
Gopher-v5,16318.98 ± 0.00,2493.51 ± 2185.28
Gravitar-v5,2695.44 ± 0.00,626.52 ± 46.03
Hero-v5,33900.23 ± 0.00,29907.28 ± 2776.20
IceHockey-v5,-4.38 ± 0.00,-4.51 ± 0.27
PrivateEye-v5,72.25 ± 0.00,57.67 ± 42.24
Qbert-v5,22940.53 ± 0.00,17318.50 ± 385.80
Riverraid-v5,11789.25 ± 0.00,8676.91 ± 725.75
RoadRunner-v5,57660.25 ± 0.00,45092.50 ± 796.30
Robotank-v5,27.58 ± 0.00,11.69 ± 5.49
Seaquest-v5,1882.95 ± 0.00,1203.30 ± 364.07
Skiing-v5,-29998.00 ± 0.00,-11533.75 ± 3604.51
Solaris-v5,2067.62 ± 0.00,2056.02 ± 89.43
SpaceInvaders-v5,2849.32 ± 0.00,1164.26 ± 176.96
StarGunner-v5,34239.50 ± 0.00,46906.46 ± 2422.07
Surround-v5,6.12 ± 0.00,-5.33 ± 1.73
Tennis-v5,-0.35 ± 0.00,-12.02 ± 7.92
TimePilot-v5,10997.38 ± 0.00,6915.75 ± 1400.00
Tutankham-v5,305.59 ± 0.00,221.88 ± 28.88
UpNDown-v5,263615.69 ± 0.00,394292.22 ± 199475.88
Venture-v5,0.00 ± 0.00,0.00 ± 0.00
VideoPinball-v5,412265.15 ± 0.00,76031.30 ± 17313.17
WizardOfWor-v5,11283.50 ± 0.00,6392.12 ± 548.63
YarsRevenge-v5,97739.87 ± 0.00,63012.63 ± 5800.47
Zaxxon-v5,16688.62 ± 0.00,4767.50 ± 3370.76
Jamesbond-v5,522.06 ± 0.00,585.02 ± 106.40
Kangaroo-v5,14603.50 ± 0.00,4484.29 ± 323.07
Krull-v5,9884.79 ± 0.00,9420.27 ± 271.85
KungFuMaster-v5,31035.50 ± 0.00,29591.29 ± 1533.86
MontezumaRevenge-v5,0.00 ± 0.00,4.25 ± 6.01
MsPacman-v5,4838.56 ± 0.00,2574.25 ± 589.84
NameThisGame-v5,11958.65 ± 0.00,5939.28 ± 118.37
Phoenix-v5,5685.30 ± 0.00,14847.46 ± 480.81
Pitfall-v5,0.00 ± 0.00,-113.92 ± 98.81
Pong-v5,16.10 ± 0.00,20.62 ± 0.18
